Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,WX1PA7,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
3,WX2PA1,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,WX3PA4,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,WX4PA2,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,WX5PA3,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,WX6PA5,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,WX7PA6,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
9,WX8,161.650000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,WX9,161.775000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,WX10,163.275000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
12,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
13,W6TP,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
14,K6HN,440.600000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
16,W6TP,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
17,K6HN,440.600000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,K6DNA,441.250000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
19,W6EE,441.450000,+,5.000000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
20,WA6GG,442.050000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
21,N6MVT,442.075000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
22,N6MNV,442.700000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
23,W6TP,443.100000,+,5.000000,DTCS,88.5,88.5,114,NN,FM,5.00,,,,,,
24,K6MSR,443.675000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,KG6TN,443.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
26,K6TW,444.725000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
27,K6KYA,444.850000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,S,,,,,
28,KB6LCS,444.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
